id,target
0,1
1,3
2,0
3,3
4,2
5,2
6,2
7,2
8,3
9,3
10,3
11,2
12,3
13,3
14,3
15,3
16,0
17,2
18,3
19,0
20,2
21,0
22,3
23,0
24,0
25,0
26,3
27,1
28,0
29,0
30,0
31,3
32,3
33,2
34,2
35,0
36,0
37,3
38,3
39,3
40,2
41,3
42,0
43,3
44,1
45,0
46,2
47,3
48,0
49,0
50,3
51,2
52,1
53,0
54,3
55,1
56,3
57,0
58,3
59,2
60,2
61,0
62,2
63,0
64,3
65,0
66,0
67,2
68,1
69,1
70,1
71,2
72,3
73,2
74,3
75,3
76,0
77,2
78,2
79,1
80,3
81,3
82,2
83,3
84,3
85,3
86,0
87,3
88,3
89,2
90,3
91,0
92,0
93,2
94,3
95,2
96,1
97,2
98,3
99,1
100,3
101,1
102,0
103,2
104,3
105,0
106,2
107,0
108,2
109,2
110,3
111,1
112,3
113,2
114,2
115,0
116,2
117,1
118,2
119,1
120,3
121,3
122,3
123,3
124,0
125,0
126,0
127,0
128,0
129,2
130,3
131,0
132,0
133,3
134,0
135,0
136,3
137,3
138,2
139,0
140,1
141,1
142,0
143,3
144,2
145,2
146,2
147,3
148,3
149,0
150,0
151,1
152,1
153,1
154,3
155,2
156,2
157,3
158,0
159,3
160,3
161,1
162,2
163,3
164,0
165,3
166,3
167,3
168,0
169,3
170,3
171,3
172,0
173,3
174,0
175,1
176,2
177,3
178,1
179,0
180,2
181,3
182,3
183,3
184,0
185,1
186,2
187,2
188,3
189,3
190,0
191,2
192,3
193,0
194,0
195,2
196,3
197,3
198,0
199,0
200,2
201,0
202,2
203,2
204,0
205,0
206,3
207,3
208,3
209,2
210,2
211,2
212,2
213,3
214,0
215,3
216,2
217,2
218,3
219,3
220,2
221,0
222,3
223,0
224,3
225,2
226,1
227,0
228,3
229,2
230,2
231,2
232,3
233,1
234,2
235,3
236,0
237,0
238,3
239,2
240,3
241,2
242,3
243,0
244,2
245,0
246,2
247,1
248,0
249,3
250,0
251,0
252,3
253,3
254,3
255,0
256,2
257,2
258,1
259,0
260,3
261,1
262,0
263,1
264,1
265,1
266,3
267,1
268,2
269,2
270,3
271,0
272,2
273,0
274,1
275,1
276,3
277,3
278,0
279,0
280,0
281,1
282,1
283,2
284,2
285,0
286,0
287,0
288,0
289,3
290,2
291,2
292,3
293,2
294,3
295,1
296,3
297,1
298,1
299,3
300,3
301,3
302,2
303,3
304,2
305,3
306,0
307,3
308,3
309,3
310,3
311,2
312,0
313,3
314,2
315,3
316,1
317,2
318,0
319,0
320,3
321,2
322,2
323,3
324,3
325,3
326,3
327,0
328,0
329,3
330,0
331,0
332,2
333,0
334,2
335,3
336,3
337,3
338,3
339,3
340,0
341,3
342,2
343,3
344,1
345,3
346,3
347,3
348,0
349,0
350,3
351,0
352,0
353,2
354,1
355,0
356,3
357,1
358,3
359,0
360,2
361,2
362,2
363,0
364,2
365,2
366,1
367,1
368,3
369,2
370,3
371,3
372,2
373,0
374,3
375,3
376,1
377,3
378,3
379,0
380,3
381,1
382,3
383,3
384,0
385,3
386,3
387,1
388,0
389,2
390,1
391,3
392,3
393,1
394,0
395,3
396,1
397,1
398,2
399,0
400,3
401,0
402,3
403,2
404,3
405,3
406,3
407,3
408,0
409,0
410,1
411,0
412,2
413,2
414,0
415,3
416,0
417,2
418,3
419,1
420,0
421,0
422,2
423,0
424,3
425,0
426,3
427,2
428,1
429,0
430,3
431,3
432,3
433,0
434,1
435,2
436,3
437,0
438,2
439,0
440,2
441,1
442,2
443,2
444,2
445,2
446,0
447,2
448,2
449,1
450,1
451,1
452,1
453,2
454,0
455,0
456,2
457,2
458,3
459,2
460,2
461,0
462,0
463,0
464,0
465,0
466,2
467,0
468,2
469,2
470,2
471,0
472,0
473,0
474,3
475,0
476,2
477,0
478,3
479,2
480,0
481,0
482,1
483,0
484,0
485,2
486,3
487,0
488,2
489,0
490,3
491,2
492,2
493,0
494,2
495,1
496,3
497,0
498,3
499,1
500,0
501,3
502,2
503,0
504,3
505,3
506,0
507,1
508,3
509,0
510,2
511,2
512,1
513,0
514,3
515,2
516,0
517,3
518,2
519,0
520,0
521,0
522,3
523,2
524,3
525,3
526,1
527,2
528,2
529,1
530,3
531,0
532,2
533,0
534,3
535,2
536,3
537,3
538,2
539,0
540,0
541,2
542,2
543,2
544,3
545,1
546,3
547,0
548,3
549,2
550,1
551,3
552,2
553,2
554,2
555,0
556,2
557,2
558,1
559,3
560,3
561,0
562,2
563,0
564,2
565,3
566,0
567,3
568,1
569,0
570,3
571,3
572,3
573,1
574,0
575,2
576,1
577,2
578,3
579,0
580,1
581,2
582,3
583,2
584,1
585,3
586,3
587,0
588,2
589,2
590,0
591,3
592,3
593,2
594,2
595,3
596,0
597,1
598,1
599,0
600,2
601,2
602,0
603,0
604,3
605,0
606,2
607,0
608,1
609,2
610,0
611,3
612,1
613,3
614,3
615,0
616,2
617,2
618,0
619,2
620,3
621,2
622,3
623,3
624,3
625,0
626,3
627,3
628,0
629,0
630,3
631,2
632,2
633,1
634,0
635,3
636,0
637,1
638,3
639,2
640,0
641,1
642,0
643,2
644,0
645,2
646,0
647,2
648,0
649,0
650,0
651,2
652,1
653,1
654,0
655,0
656,2
657,1
658,2
659,3
660,3
661,1
662,1
663,3
664,3
665,0
666,3
667,2
668,0
669,1
670,0
671,2
672,0
673,0
674,0
675,3
676,1
677,2
678,3
679,3
680,0
681,1
682,0
683,3
684,1
685,3
686,0
687,3
688,0
689,2
690,2
691,0
692,0
693,0
694,3
695,3
696,2
697,3
698,3
699,0
700,1
701,0
702,2
703,3
704,2
705,0
706,0
707,2
708,0
709,3
710,3
711,1
712,2
713,2
714,2
715,3
716,2
717,1
718,0
719,2
720,2
721,2
722,2
723,3
724,3
725,0
726,0
727,1
728,0
729,3
730,3
731,2
732,3
733,0
734,3
735,1
736,0
737,0
738,2
739,3
740,0
741,3
742,1
743,2
744,0
745,0
746,1
747,1
748,3
749,1
750,0
751,0
752,3
753,1
754,3
755,0
756,0
757,3
758,1
759,0
760,2
761,1
762,2
763,3
764,3
765,2
766,3
767,3
768,2
769,1
770,3
771,0
772,3
773,0
774,3
775,2
776,1
777,0
778,0
779,1
780,0
781,0
782,3
783,3
784,3
785,0
786,0
787,0
788,2
789,0
790,1
791,2
792,3
793,3
794,1
795,3
796,1
797,3
798,1
799,3
800,2
801,2
802,2
803,2
804,0
805,0
806,2
807,1
808,3
809,3
810,1
811,2
812,2
813,0
814,0
815,2
816,0
817,2
818,3
819,2
820,3
821,3
822,3
823,0
824,0
825,3
826,0
827,2
828,1
829,3
830,3
831,2
832,2
833,0
834,1
835,2
836,2
837,2
838,1
839,1
840,3
841,0
842,2
843,0
844,1
845,2
846,3
847,2
848,2
849,0
850,3
851,1
852,0
853,0
854,3
855,2
856,2
857,0
858,0
859,3
860,2
861,0
862,1
863,0
864,3
865,3
866,3
867,3
868,0
869,2
870,2
871,0
872,0
873,2
874,0
875,2
876,3
877,2
878,0
879,2
880,2
881,3
882,3
883,2
884,0
885,2
886,2
887,1
888,2
889,3
890,2
891,1
892,2
893,1
894,2
895,2
896,0
897,3
898,0
899,3
900,1
901,3
902,0
903,2
904,3
905,0
906,0
907,2
908,2
909,1
910,3
911,1
912,1
913,3
914,0
915,3
916,3
917,3
918,0
919,3
920,2
921,1
922,3
923,0
924,1
925,2
926,1
927,3
928,1
929,2
930,2
931,0
932,2
933,3
934,0
935,3
936,2
937,3
938,2
939,1
940,0
941,1
942,0
943,3
944,3
945,2
946,0
947,2
948,0
949,0
950,1
951,0
952,0
953,0
954,2
955,2
956,2
957,3
958,1
959,1
960,2
961,3
962,3
963,1
964,2
965,0
966,3
967,0
968,2
969,0
970,0
971,0
972,3
973,3
974,2
975,0
976,1
977,3
978,2
979,2
980,1
981,0
982,3
983,3
984,0
985,0
986,1
987,3
988,2
989,2
990,0
991,1
992,3
993,2
994,2
995,3
996,0
997,3
998,1
999,3
1000,3
1001,0
1002,0
1003,1
1004,3
1005,0
1006,2
1007,3
1008,2
1009,1
1010,2
1011,0
1012,1
1013,2
1014,3
1015,2
1016,2
1017,3
1018,1
1019,1
1020,2
1021,2
1022,0
1023,3
1024,3
1025,3
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,2
1033,0
1034,0
1035,2
1036,3
1037,2
1038,0
1039,2
1040,3
1041,3
1042,1
1043,0
1044,0
1045,1
1046,0
1047,3
1048,0
1049,3
1050,3
1051,0
1052,0
1053,3
1054,0
1055,2
1056,0
1057,0
1058,2
1059,0
1060,2
1061,2
1062,2
1063,3
1064,3
1065,3
1066,3
1067,3
1068,3
1069,0
1070,1
1071,3
1072,1
1073,0
1074,0
1075,2
1076,2
1077,2
1078,3
1079,3
1080,0
1081,0
1082,0
1083,1
1084,3
1085,3
1086,3
1087,3
1088,2
1089,2
1090,2
1091,0
1092,1
1093,3
1094,3
1095,0
1096,3
1097,3
1098,0
1099,1
1100,3
1101,3
1102,0
1103,3
1104,0
1105,3
1106,0
1107,3
1108,3
1109,2
1110,2
1111,2
1112,3
1113,0
1114,3
1115,1
1116,0
1117,2
1118,1
1119,3
1120,2
1121,2
1122,2
1123,3
1124,3
1125,3
1126,1
1127,2
1128,1
1129,0
1130,2
1131,1
1132,2
1133,1
1134,0
1135,2
1136,2
1137,3
1138,2
1139,1
1140,1
1141,3
1142,2
1143,0
1144,0
1145,3
1146,3
1147,0
1148,1
1149,2
1150,2
1151,2
1152,0
1153,2
1154,2
1155,3
1156,0
1157,0
1158,3
1159,1
1160,0
1161,3
1162,0
1163,0
1164,2
1165,2
1166,1
1167,0
1168,2
1169,3
1170,0
1171,2
1172,1
1173,0
1174,1
1175,0
1176,0
1177,1
1178,1
1179,3
1180,2
1181,2
1182,1
1183,1
1184,0
1185,1
1186,2
1187,3
1188,2
1189,3
1190,0
1191,1
1192,3
1193,2
1194,3
1195,3
1196,3
1197,3
1198,3
1199,2
1200,3
1201,3
1202,2
1203,2
1204,3
1205,3
1206,0
1207,3
1208,2
1209,3
1210,0
1211,1
1212,1
1213,0
1214,0
1215,3
1216,1
1217,0
1218,1
1219,2
1220,0
1221,3
1222,1
1223,2
1224,2
1225,0
1226,2
1227,3
1228,2
1229,2
1230,1
1231,3
1232,1
1233,1
1234,2
1235,0
1236,2
1237,0
1238,2
1239,1
1240,3
1241,0
1242,3
1243,3
1244,0
1245,3
1246,3
1247,3
1248,3
1249,0
1250,0
1251,0
1252,2
1253,0
1254,0
1255,0
1256,3
1257,2
