id,facebook_id,page_name,page_type
0,145647315578475,The Voice of China 中国好声音,tvshow
1,191483281412,U.S. Consulate General Mumbai,government
2,144761358898518,ESET,company
3,568700043198473,Consulate General of Switzerland in Montreal,government
4,1408935539376139,Mark Bailey MP - Labor for Miller,politician
5,134464673284112,Victor Dominello MP,politician
6,282657255260177,Jean-Claude Poissant,politician
7,239338246176789,Deputado Ademir Camilo,politician
8,544818128942324,T.C. Mezar-ı Şerif Başkonsolosluğu,government
9,285155655705,Army ROTC Fighting Saints Battalion,government
10,295294787190810,NASA Student Launch,government
11,837707072929819,Eliziane Gama,politician
12,189778427932,Socialstyrelsen,government
13,153345494745119,Brisbane Water LAC - NSW Police Force,government
14,374623305761,NASA's Marshall Space Flight Center,government
15,135948233146402,Municipio de Lomas de Zamora,government
16,218961468129322,Die Techniker (TK),company
17,603089303044139,Digvijaya Singh,politician
18,107219255341,1st Armored Division Sustainment Brigade,government
19,288891469878,Shapeways,company
20,200750393327673,Françoise Guégot,politician
21,312378712151391,Hydro Coco,company
22,197257747038268,Embassy of the Netherlands in Uganda,government
23,121925517901889,Ford Danmark,company
24,127122004049986,Schweppes Australia,company
25,9615015947,TalkTalk,company
26,136577286212,National Institute of General Medical Sciences,government
27,220206968012871,Poppy Cat,tvshow
28,77064798220,Tahiti Tourisme,company
29,314467271901260,Marriott Rewards,company
30,239470792802382,TeleCentro,company
31,1087372227969105,Ministerio de Comunicaciones de la República Argentina,government
32,115144905195604,Policía Nacional de los Colombianos,government
33,139151419572310,Lance Gooden,politician
34,324560137683033,Ivan ŠTEFANEC,politician
35,115178951868510,Omoda,company
36,334483838309,Sunrun,company
37,367794192480,NCBI - National Center for Biotechnology Information,government
38,312747342102625,T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey,government
39,403071946500795,Tennessee Secretary of State,government
40,180099508994152,張宏陸,politician
41,30577197161,Nuevo León Extraordinario,government
42,57816252527,Honey Bunches of Oats,company
43,216178818416755,St. Cloud VA Health Care System,government
44,1507698529534072,APB FOX,tvshow
45,5830082681,Volaris,company
46,391321314263162,Eduardo Barbosa,politician
47,518989818298491,Service de police de la Ville de Montréal - SPVM,government
48,327771217264764,Hotel Indigo,company
49,130096562306,Digicel,company
50,126291660767367,Alabama Ecological Services Field Office,government
51,346648178719588,Ulli Sima,politician
52,1388741348032650,식샤를합시다,tvshow
53,624417591001227,LION,company
54,123185828069517,Policía de Seguridad Aeroportuaria,government
55,141018599260302,Abendschau,tvshow
56,378134195601552,"Historic Preservation Division, Illinois Department of Natural Resources",government
57,251539554450,KOHLER,company
58,676807905694191,Narragansett Fire Department,government
59,89324781720,Pat Toomey,politician
60,1493838274166939,Jean Rioux,politician
61,30968512668,Windows,company
62,153947391339205,Manolo Jiménez Salinas,politician
63,445110972186788,Tune Hotels,company
64,277034555829293,Préfète de la Lozère,government
65,288263184580783,GoBank,company
66,190073274544,Green & Black's,company
67,1435115400134833,Jennifer Newman,politician
68,128837483823282,SVT Kortfilm,tvshow
69,248466702367,Toute la vérité,tvshow
70,49649942718,Modern Marvels,tvshow
71,1008920055906510,Monika Lazar,politician
72,501375619956944,T.C. Boston Başkonsolosluğu-Turkish Consulate General in Boston,government
73,139782149374162,Benjamin Strasser,politician
74,1430048157270238,Embajada de Rumania en Buenos Aires,government
75,395873323778271,"Headquarters and Headquarters Company (HHC), 16th Military Police Brigade",government
76,328510467254992,Lazada Super Moms,company
77,1415528252047590,Fernando Ruas,politician
78,728733757210856,Victoria Prentis,politician
79,537191503102185,11.22.63,tvshow
80,1674951879426286,Національна поліція України,government
81,133074956714225,Jurado Nacional de Elecciones del Perú,government
82,345612838830323,Mike Nahan,politician
83,117709338312950,RAF Recruitment,government
84,149038991834428,Ansbach Housing,government
85,236384066470140,The BCDA Group,government
86,113473582071850,Pirkka,company
87,1413528238883071,Ambassade du Canada en Islande,government
88,70710067457,"United States Embassy - Riga, Latvia",government
89,617957021581571,Michal Rozin מיכל רוזין,politician
90,264070427050244,Stop Fraud Colorado,government
91,219150418186,3 Musketeers,company
92,181414785384715,EVA Airways Corp. 長榮航空,company
93,388614157893904,Vilson Covatti,politician
94,112236298513,Export Gov,government
95,473799242678553,Fabiana Dadone,politician
96,139152096100639,Noticias Univision Florida Central,tvshow
97,698128143679780,Kevin Michel MLA,politician
98,211815292207397,Soldier On / Sans Limites,government
99,296432197042477,Bericht aus Berlin,tvshow
100,2046450978914607,Préfecture de police des Bouches-du-Rhône,government
101,104513569620273,The X Factor (USA),tvshow
102,144128365625650,Ochsner Sport,company
103,169014523134260,林淑芬,politician
104,1717735835107639,Ministerio de Educación de la Nación Argentina,government
105,133161833398584,Aviva,company
106,145794842231097,Chad Griffith - Lake Macquarie,politician
107,151049292087611,Red Bull MOBILE,company
108,84890878270,Dan Drew,politician
