id,name,ml_target
0,Eiryyy,0
1,shawflying,0
2,JpMCarrilho,1
3,SuhwanCha,0
4,sunilangadi2,1
5,j6montoya,0
6,sfate,0
7,amituuush,0
8,mauroherlein,0
9,ParadoxZero,0
10,llazzaro,0
11,beeva-manueldepaz,0
12,damianmuti,0
13,apobbati,0
14,hwlv,0
15,haroldoramirez,0
16,jasonblanchard,0
17,BahiHussein,0
18,itsmevanessi,0
19,nwjsmith,0
20,chengzhipeng,0
21,tiensonqin,0
22,pdokas,0
23,maxfierke,0
24,davidthewatson,0
25,kidbai,0
26,Micanss,0
27,hepin1989,0
28,ashphy,0
29,soberanes,0
30,rajatpatel2113,0
31,ehlxr,0
32,city292,1
33,riverphoenix,1
34,AnqiYang,1
35,CN-Sean,0
36,Myoursky,0
37,ariepratama,1
38,linjunpop,0
39,MLoughry,0
40,bombworm,0
41,kmiladi,0
42,indreklasn,0
43,littlexiang,0
44,tannersteele,0
45,FantinBibas,0
46,ngothanhtai,0
47,diluga,0
48,ForrestPi,0
49,sorenbouma,1
50,th3brink,0
51,damianlajara,0
52,DQNEO,0
53,carloseberhardt,0
54,moraispgsi,0
55,crispe1586,0
56,TarrySingh,1
57,gideonheilbron,0
58,roalcantara,0
59,novinsh,1
60,XiaocongDong,0
61,muhammadfaizan,0
62,bigzhao,1
63,guillecro,0
64,7772,0
65,paranoiasystem,0
66,Endika,0
67,jasperblues,0
68,ogirginc,0
69,shogochiai,0
70,TinaBryan,0
71,iksnae,0
72,mafellows,1
73,kentcdodds,0
74,DennisWanjiru,0
75,rupesh1310,0
76,ayberkanilatsiz,0
77,fangying,1
78,rozentill,1
79,talentkeychen,1
80,lilosir,0
81,g8up,0
82,shz2050,0
83,Bjoux2,1
84,MasihKarimi,0
85,SeunghunSunmoonLee,0
86,milon,0
87,fernandojsg,0
88,keyvanakbary,0
89,MarcoCabazal,0
90,hisrg,1
91,timmo001,0
92,AD7six,0
93,pragyandas,0
94,starkwang,0
95,rubensfernandes,0
96,stoprocent,0
