id,target
0,8
1,17
2,3
3,17
4,5
5,17
6,3
7,6
8,0
9,3
10,17
11,0
12,17
13,15
14,17
15,17
16,10
17,0
18,17
19,10
20,14
21,13
22,17
23,10
24,10
25,0
26,3
27,10
28,14
29,2
30,0
31,17
32,8
33,10
34,11
35,5
36,10
37,17
38,10
39,10
40,0
41,15
42,0
43,6
44,0
45,6
46,8
47,8
48,5
49,14
50,16
51,14
52,14
53,17
54,10
55,6
56,17
57,14
58,10
59,8
60,17
61,6
62,0
63,5
64,10
65,3
66,17
67,0
68,10
69,10
70,6
71,0
72,6
73,10
74,16
75,17
76,10
77,15
78,6
79,10
80,17
81,0
82,10
83,15
84,6
85,10
86,10
87,5
88,5
89,11
90,17
91,10
92,17
93,10
94,3
95,8
96,17
97,8
98,17
99,3
100,3
101,17
102,0
103,6
104,5
105,5
106,5
107,17
108,14
109,16
110,15
111,16
112,17
113,0
114,0
115,10
116,8
117,17
118,10
119,14
120,17
121,17
122,16
123,17
124,17
125,17
126,17
127,6
128,0
129,5
130,0
131,10
132,10
133,3
134,8
135,14
136,0
137,6
138,0
139,7
140,17
141,5
142,17
143,6
144,10
145,0
146,14
147,6
148,10
149,10
150,17
151,15
152,15
153,5
154,17
155,10
156,8
157,17
158,3
159,10
160,17
161,17
162,10
163,6
164,17
165,14
166,10
167,3
168,10
169,7
170,6
171,0
172,10
173,10
174,8
175,8
176,0
177,6
178,14
179,3
180,17
181,0
182,10
183,3
184,10
185,0
186,17
187,10
188,17
189,17
190,3
191,0
192,10
193,6
194,17
195,6
196,6
197,17
198,17
199,17
200,5
201,14
202,0
203,0
204,0
205,7
206,5
207,10
208,10
209,0
210,17
211,6
212,5
213,10
214,14
215,6
216,13
217,17
218,3
219,14
220,17
221,17
222,17
223,17
224,0
225,10
226,5
227,0
228,5
229,0
230,17
231,11
232,17
233,0
234,0
235,6
236,10
237,17
238,16
239,4
240,17
241,3
242,16
243,17
244,0
245,10
246,3
247,16
248,9
249,14
250,17
251,3
252,15
253,10
254,10
255,0
256,3
257,8
258,16
259,10
260,17
261,6
262,10
263,13
264,10
265,10
266,10
267,8
268,17
269,14
270,14
271,0
272,17
273,17
274,10
275,1
276,17
277,17
278,17
279,0
280,8
281,0
282,10
283,10
284,0
285,3
286,0
287,0
288,10
289,17
290,0
291,10
292,17
293,9
294,12
295,17
296,5
297,17
298,10
299,17
300,3
301,0
302,16
303,17
304,0
305,10
306,8
307,8
308,12
309,17
310,10
311,0
312,8
313,10
314,10
315,3
316,10
317,5
318,6
319,0
320,0
321,0
322,6
323,17
324,14
325,2
326,5
327,10
328,14
329,17
330,17
331,6
332,17
333,10
334,17
335,6
336,14
337,5
338,6
339,17
340,17
341,17
342,3
343,2
344,10
345,0
