node_id,feature_id,value
2435,1951,1.0
2435,3152,1.0
2435,1301,1.0
2435,2173,1.0
2435,861,1.0
2435,152,1.0
2435,2003,1.0
2435,2814,1.0
2435,119,1.0
2435,451,1.0
2435,2988,1.0
2435,635,1.0
2435,569,1.0
2435,2645,1.0
2435,1525,1.0
2435,2661,1.0
1749,1948,1.0
1749,1565,1.0
1749,2663,1.0
1749,1373,1.0
1749,846,1.0
1749,45,1.0
1749,846,1.0
1749,920,1.0
1749,224,1.0
1749,2621,1.0
1749,1675,1.0
1749,257,1.0
1749,1895,1.0
1749,139,1.0
1749,569,1.0
1749,2456,1.0
1749,2384,1.0
1749,853,1.0
1749,3044,1.0
1749,2442,1.0
1749,3057,1.0
1749,1147,1.0
1749,751,1.0
1749,440,1.0
1447,1948,1.0
1447,3152,1.0
1447,2583,1.0
1447,2750,1.0
1447,861,1.0
1447,960,1.0
1447,2282,1.0
1447,920,1.0
1447,1907,1.0
1447,1612,1.0
1447,2327,1.0
1447,840,1.0
1447,1895,1.0
1447,3054,1.0
1447,859,1.0
1447,2656,1.0
1447,1570,1.0
1447,436,1.0
1447,2178,1.0
5086,2858,1.0
5086,619,1.0
5086,2121,1.0
5086,2024,1.0
5086,653,1.0
5086,287,1.0
5086,1649,1.0
5086,920,1.0
5086,224,1.0
5086,3097,1.0
5086,1291,1.0
5086,2549,1.0
5086,2524,1.0
5086,83,1.0
5086,569,1.0
5086,2501,1.0
5086,276,1.0
5086,1548,1.0
1844,1951,1.0
1844,3152,1.0
1844,2334,1.0
1844,236,1.0
1844,846,1.0
1844,3103,1.0
1844,1085,1.0
1844,920,1.0
1844,224,1.0
1844,810,1.0
1844,1927,1.0
1844,1387,1.0
1844,569,1.0
1844,608,1.0
1844,2724,1.0
1844,276,1.0
1844,802,1.0
1844,2424,1.0
1844,2737,1.0
1844,1548,1.0
2895,2858,1.0
2895,3152,1.0
2895,2818,1.0
2895,846,1.0
2895,1881,1.0
2895,2063,1.0
2895,920,1.0
2895,224,1.0
2895,810,1.0
2895,1656,1.0
2895,588,1.0
2895,1108,1.0
2895,929,1.0
2895,1387,1.0
2895,1213,1.0
2895,139,1.0
2895,569,1.0
2895,3054,1.0
2895,803,1.0
2895,2362,1.0
2895,1147,1.0
2895,1796,1.0
2895,2645,1.0
2895,2337,1.0
2895,436,1.0
2895,502,1.0
2895,69,1.0
2895,440,1.0
514,1051,1.0
514,1417,1.0
514,3047,1.0
514,1650,1.0
514,1354,1.0
514,653,1.0
514,181,1.0
514,2010,1.0
514,3084,1.0
514,920,1.0
514,1907,1.0
514,1612,1.0
514,2327,1.0
514,1108,1.0
514,635,1.0
514,3054,1.0
514,803,1.0
514,436,1.0
514,2645,1.0
514,502,1.0
514,751,1.0
1244,2605,1.0
1244,1535,1.0
1244,1946,1.0
1244,653,1.0
1244,359,1.0
1244,1649,1.0
1244,920,1.0
1244,224,1.0
1244,3097,1.0
1244,1812,1.0
1244,2549,1.0
1244,2524,1.0
1244,2936,1.0
1244,1895,1.0
1244,83,1.0
1244,2501,1.0
1244,3044,1.0
1244,2661,1.0
530,1521,1.0
530,1535,1.0
530,496,1.0
530,385,1.0
530,2323,1.0
530,846,1.0
530,920,1.0
530,224,1.0
530,810,1.0
530,130,1.0
530,2936,1.0
530,635,1.0
530,569,1.0
530,2384,1.0
530,1839,1.0
530,2645,1.0
530,276,1.0
1539,194,1.0
1539,1191,1.0
1539,642,1.0
1539,3071,1.0
1539,507,1.0
1539,2762,1.0
1539,861,1.0
1539,800,1.0
1539,1823,1.0
1539,3164,1.0
1539,2318,1.0
1539,920,1.0
1539,1907,1.0
1539,2302,1.0
1539,896,1.0
1539,2549,1.0
1539,2524,1.0
1539,1075,1.0
1539,1387,1.0
1539,635,1.0
1539,83,1.0
1539,2061,1.0
1539,276,1.0
1539,2645,1.0
1539,768,1.0
1539,2501,1.0
1539,1147,1.0
1539,3057,1.0
3481,1449,1.0
3481,509,1.0
3481,2481,1.0
3481,1252,1.0
3481,846,1.0
3481,1340,1.0
3481,757,1.0
3481,920,1.0
3481,1907,1.0
3481,1612,1.0
3481,2327,1.0
3481,2912,1.0
3481,929,1.0
3481,1645,1.0
3481,928,1.0
3481,1124,1.0
3481,569,1.0
3481,139,1.0
3481,822,1.0
3481,2424,1.0
3481,2737,1.0
3481,2728,1.0
3481,69,1.0
3481,1525,1.0
3481,465,1.0
6675,1521,1.0
6675,3152,1.0
6675,2979,1.0
6675,2595,1.0
6675,653,1.0
6675,402,1.0
6675,3164,1.0
6675,920,1.0
6675,224,1.0
6675,810,1.0
6675,754,1.0
6675,588,1.0
6675,257,1.0
6675,1387,1.0
6675,139,1.0
6675,2724,1.0
6675,2362,1.0
6675,1147,1.0
6675,3051,1.0
6675,1796,1.0
6675,2068,1.0
6675,768,1.0
6675,1548,1.0
6675,1213,1.0
6675,2335,1.0
6675,751,1.0
6675,1876,1.0
1116,2347,1.0
1116,433,1.0
1116,1301,1.0
1116,2928,1.0
1116,1659,1.0
1116,2063,1.0
1116,920,1.0
1116,224,1.0
1116,810,1.0
1116,553,1.0
1116,2990,1.0
1116,1656,1.0
1116,1195,1.0
1116,1231,1.0
1116,2362,1.0
1116,1113,1.0
5495,1951,1.0
5495,421,1.0
5495,1053,1.0
5495,2257,1.0
5495,861,1.0
5495,489,1.0
5495,2063,1.0
5495,920,1.0
5495,224,1.0
5495,3097,1.0
5495,706,1.0
5495,1342,1.0
5495,635,1.0
5495,855,1.0
5495,704,1.0
5495,2638,1.0
5495,1431,1.0
5495,1548,1.0
5495,1147,1.0
5495,1525,1.0
4349,1234,1.0
4349,3152,1.0
4349,1433,1.0
4349,2928,1.0
4349,2485,1.0
4349,846,1.0
4349,920,1.0
4349,224,1.0
4349,810,1.0
4349,754,1.0
4349,1548,1.0
4349,569,1.0
4349,3044,1.0
870,1234,1.0
870,3152,1.0
870,3047,1.0
870,660,1.0
870,507,1.0
870,861,1.0
870,142,1.0
870,48,1.0
870,2976,1.0
870,920,1.0
870,1907,1.0
870,1612,1.0
870,2327,1.0
870,1656,1.0
870,2936,1.0
870,635,1.0
870,569,1.0
870,2384,1.0
870,584,1.0
870,1228,1.0
870,2424,1.0
870,1113,1.0
870,2737,1.0
369,89,1.0
369,294,1.0
369,591,1.0
369,2628,1.0
369,989,1.0
369,2323,1.0
369,595,1.0
369,665,1.0
369,2928,1.0
369,808,1.0
369,920,1.0
369,1144,1.0
369,1761,1.0
369,760,1.0
369,2549,1.0
369,2524,1.0
369,1764,1.0
369,1387,1.0
369,2479,1.0
369,83,1.0
369,569,1.0
369,1762,1.0
369,2501,1.0
369,2645,1.0
369,2424,1.0
369,1245,1.0
369,2737,1.0
3344,515,1.0
3344,221,1.0
3344,3078,1.0
3344,656,1.0
3344,653,1.0
3344,145,1.0
3344,1047,1.0
3344,2915,1.0
3344,920,1.0
3344,1907,1.0
3344,2185,1.0
3344,2986,1.0
3344,588,1.0
3344,1656,1.0
3344,257,1.0
3344,929,1.0
3344,139,1.0
3344,569,1.0
3344,1147,1.0
3344,1796,1.0
3344,2424,1.0
