id,target
0,15947
1,1933
2,576
3,87
4,1095
5,1637
6,87
7,87
8,25102
9,375
10,3794
11,7992
12,5128
13,87
14,127
15,87
16,87
17,2581
18,2486
19,14362
20,1833
21,1033
22,1090
23,664
24,24
25,87
26,16964
27,30
28,835
29,1357
30,36757
31,11808
32,34
33,53055
34,400
35,121219
36,227
37,331
38,378
39,628
40,1371
41,87
42,209
43,562
44,227
45,44
46,225
47,3124
48,2486
49,24908
50,439
51,6119
52,41
53,21530
54,7906
55,227
56,4381
57,10698
58,21969
59,87
60,8379
61,30
62,42
63,227
64,9068
65,7906
66,4283
67,1248
68,227
69,1184
70,1371
71,541
72,1406
73,993
74,11147
75,121219
76,7596
77,13054
78,559
79,574
80,1321
81,87
82,50
83,1299
84,87
85,69
86,4141
87,3444
88,2668
89,87
90,52
91,87
92,235
93,87
94,30
95,9916
96,7906
97,136
98,87
99,227
100,18784
101,1184
102,87
103,51748
104,227
105,16660
106,1757
107,96687
108,15974
109,227
110,81
111,87
112,34
113,376
114,227
115,691
116,41
117,14196
118,41
119,144
120,611
121,1128
122,12307
123,227
124,22407
125,227
126,87
127,38629
128,58923
129,57
130,801
131,794
132,20625
133,187
134,7906
135,87
136,9068
137,9074
138,227
139,3471
140,619
141,267
142,794
143,67905
144,2389
145,4520
146,49769
147,69960
148,3794
149,87
150,1076
151,245843
152,34306
153,33619
154,38
155,116642
156,5689
157,140
158,41
159,7732
160,3044
161,87
162,2301
163,985
164,87
165,36824
166,949
167,48
168,94178
169,30
170,9854
171,227
172,9074
173,101
174,3471
175,10109
176,87
177,87
178,1061
179,34
180,2256
181,2784
182,15790
183,28727
184,115
185,3124
186,4319
187,7852
188,14641
189,30
190,1027
191,3400
192,87
193,610
194,41
195,595
196,55
197,198
198,17716
199,41
200,31
201,940
202,344
203,479
204,1012
205,5548
206,40
207,227
208,38156
209,529
210,49928
211,87
212,3471
213,46585
214,227
215,742
216,10245
217,167
218,593
219,4054
220,1140
221,30
222,3471
223,386
224,227
225,1264
226,2461
227,105
228,2625
229,2529
230,87
231,144
232,7906
233,9541
234,1020
235,87
236,727
237,142
238,236
239,87
240,3471
241,87
242,227
243,1340
244,50
245,87
246,4141
247,2486
248,59
